actual,predicted
338870.0,408909.5
1298.0,1072.9128
7025.0,9858.257
77632.0,68352.484
5611.0,7854.1006
76812.0,98216.13
1708.0,5377.8193
4149.0,3810.2996
95554.0,176328.69
180686.0,176656.72
9195.0,11969.015
464.0,-900.5207
151001.0,95507.586
29931.0,34297.375
2707.0,1843.9832
1803.0,2908.3464
16485.0,14400.384
481033.00000000006,289597.38
2481.0,4556.659
18830.0,20699.713
663.0,-1876.9309
112455.0,81982.22
1835.0,2124.8816
7199.0,8758.534
12413.999999999996,5604.4717
4947.0,11021.216
221268.0,163382.17
2260.0,1165.4792
73837.0,81947.305
383.0,858.31525
11309.999999999996,8635.28
1696.0,1344.8777
1202.0,2774.8542
25761.0,46391.473
23266.0,24246.39
5165.0,6475.1123
14258.0,20621.158
2323.0,6183.0576
10199.0,7053.87
110872.0,87041.445
1519.0,2631.1238
